name,ds_O_b97_gas,ds_pbe_cfm,ds_mp2_gas,ds_pbe_gas,ds_mp2_dcm,ds_mp2_cfm,xtbgas,ds_pbe_dcm,ds_O_mp2_gas,xtbchcl3
1_alde1_2_ami1_1,-0.016697317206080697,-0.03389824140003839,-0.011801651000268976,-0.030352008999670943,-0.012760456399973918,-0.012660689200174602,-0.10189285377499857,-0.03449702779994368,-0.03735662953204155,-0.09830496185801962
1_alde1_2_ami1_2,-0.011503867493956932,-0.010631261400021685,0.0038326589997268457,-0.007264138999744318,0.002455153600067206,0.0027365807998194214,-0.040520132326008707,-0.011293817799924,-0.0230748353560557,-0.038716976342016096
1_alde1_3_ami1_1,-0.018881806708122895,-0.04501815110006646,-0.010525623500598158,-0.0395766724996065,-0.01250944809999055,-0.012181823800119673,-0.1463609291529906,-0.04604268220009544,-0.049801587547108284,-0.14209294945902684
1_alde1_3_ami1_2,-0.005908355413112076,-0.0030410611002480437,0.02269377649940907,0.00020109750039409846,0.023767811900142988,0.023502556199900937,-0.04790874186801375,-0.003530832199885481,-0.024842669809913787,-0.043801854729025536
2_alde1_3_ami1_1,-0.013850187997832109,-0.02480384649879852,0.014279911500125309,-0.015924681500564475,0.010697847500068747,0.01168151100000614,-0.11276660984896125,-0.026894242000253143,-0.050280882237075275,-0.10044991306500606
2_alde1_3_ami1_2,-0.017451475882808154,-0.0072230064988616505,0.044487651500276115,-0.001323091500580631,0.04552948749960706,0.04536304099974586,-0.08693873069697133,-0.008267852000244602,-0.052697614797125425,-0.07266553263903575
2_alde1_4_ami1_1,-0.03293694816329662,-0.04750638619907477,0.02313036900068255,-0.03923256500092975,0.02308053579963598,0.023150136399635812,-0.1685870247109449,-0.049121956400085764,-0.08700568083850158,-0.1494519276780295
2_alde1_4_ami1_2,-0.021434887635223276,-0.015523006199146039,0.034639819000403804,-0.0076890250011274475,0.034650705799776915,0.03466164639985436,-0.10094285084196031,-0.016968706399893563,-0.06212022330828404,-0.08747070135703439
3_alde1_4_ami1_1,-0.03835125072828305,-0.03188398159954886,0.03550771400114172,-0.02255086400145956,0.03769241139980295,0.037349261199778994,-0.14092780981789588,-0.03358538620022955,-0.09576084074660685,-0.11690485302909792
3_alde1_5_ami1_1,-0.05270955098558261,-0.05653158129962321,0.03565095150088382,-0.04563595750141758,0.03728489969989823,0.03706149660001756,-0.19372455451889437,-0.05859255060022406,-0.12630450970118545,-0.16474820661909462
