name,ds_O_b97_gas,ds_pbe_cfm,ds_mp2_gas,ds_pbe_gas,ds_mp2_dcm,ds_mp2_cfm,xtbgas,ds_pbe_dcm,ds_O_mp2_gas,xtbchcl3
1_alde1_2_ami1_1,-0.008348658603040349,-0.016949120700019193,-0.005900825500134488,-0.015176004499835472,-0.006380228199986959,-0.006330344600087301,-0.050946426887499285,-0.01724851389997184,-0.018678314766020776,-0.04915248092900981
1_alde1_2_ami1_2,-0.005751933746978466,-0.005315630700010843,0.0019163294998634228,-0.003632069499872159,0.001227576800033603,0.0013682903999097107,-0.020260066163004353,-0.005646908899962,-0.01153741767802785,-0.019358488171008048
1_alde1_3_ami1_1,-0.006293935569374298,-0.01500605036668882,-0.0035085411668660527,-0.013192224166535501,-0.004169816033330183,-0.004060607933373224,-0.048786976384330195,-0.015347560733365148,-0.016600529182369428,-0.04736431648634228
1_alde1_3_ami1_2,-0.001969451804370692,-0.0010136870334160146,0.00756459216646969,6.703250013136615e-05,0.007922603966714329,0.007834185399966978,-0.01596958062267125,-0.0011769440666284936,-0.008280889936637928,-0.014600618243008512
2_alde1_3_ami1_1,-0.0027700375995664216,-0.004960769299759704,0.0028559823000250616,-0.003184936300112895,0.002139569500013749,0.002336302200001228,-0.02255332196979225,-0.005378848400050628,-0.010056176447415055,-0.02008998261300121
2_alde1_3_ami1_2,-0.003490295176561631,-0.00144460129977233,0.008897530300055223,-0.00026461830011612617,0.009105897499921412,0.009072608199949173,-0.017387746139394266,-0.0016535704000489205,-0.010539522959425085,-0.01453310652780715
2_alde1_4_ami1_1,-0.005489491360549437,-0.007917731033179129,0.003855061500113758,-0.0065387608334882925,0.003846755966605997,0.003858356066605969,-0.028097837451824148,-0.008186992733347628,-0.014500946806416929,-0.024908654613004916
2_alde1_4_ami1_2,-0.0035724812725372126,-0.002587167699857673,0.005773303166733967,-0.0012815041668545746,0.005775117633296152,0.005776941066642394,-0.01682380847366005,-0.002828117733315594,-0.010353370551380673,-0.014578450226172398
3_alde1_4_ami1_1,-0.004793906341035381,-0.003985497699943608,0.004438464250142715,-0.002818858000182445,0.004711551424975369,0.004668657649972374,-0.017615976227236985,-0.004198173275028694,-0.011970105093325856,-0.01461310662863724
3_alde1_5_ami1_1,-0.005856616776175845,-0.006281286811069246,0.003961216833431536,-0.005070661944601953,0.004142766633322026,0.004117944066668618,-0.021524950502099374,-0.0065102834000248955,-0.014033834411242828,-0.018305356291010513
3_alde1_5_ami1_2,-0.004328887494668581,-0.0037281934777032197,0.004496447944550002,-0.0024834475002030055,0.004591039966675857,0.004575990733327571,-0.017480846630102558,-0.003955552288920848,-0.01126448773604554,-0.01474164857311027
3_alde1_6_ami1_1,-0.007532654214931729,-0.01050193325560637,0.0018042015001103412,-0.00927242472243961,0.0019355037444862926,0.0019164705112820633,-0.029497886460540537,-0.01073065828909926,-0.01665747088716469,-0.026363596800447593
3_alde1_6_ami1_2,-0.0053217438896050835,-0.0055279710333909155,0.004128478166825921,-0.004078660277931097,0.003910261522428805,0.003958241622361432,-0.01809333215920914,-0.00580587384461574,-0.012259379346687638,-0.015379993067230972
4_alde1_6_ami1_1,-0.005004390113526824,-0.004679238033607665,0.0012061803334593908,-0.003303766666779969,0.0011398994669586198,0.0011509222335917002,-0.017137152364824715,-0.004932087067042327,-0.011702487170926664,-0.014865544220422558
1_alde1_2_ami2_1,-0.004061214579451189,-0.011630280200051857,-0.001096587000006366,-0.010753083999929913,-0.0004263012000365052,-0.0005484796000700953,-0.044924748776494994,-0.011777177399949323,-0.015284254080484061,-0.042968187810508596
1_alde1_2_ami2_2,-0.003822788635488905,-0.003611659200032591,0.0007086344999152061,-0.0026744024999061367,0.0010649473000512444,0.0010168233999365839,-0.016250903665493865,-0.00378688839998631,-0.00905587070042202,-0.015962852165500863
