name,xtbgas,xtbchcl3,ds_pbe_gas,ds_pbe_dcm,ds_pbe_cfm,ds_mp2_gas,ds_mp2_dcm,ds_mp2_cfm,ds_O_b97_gas,ds_O_mp2_gas
1_alde1_2_ami1_1,-90.735975716474,-90.769162211201,-1271.18055112,-1271.19207574,-1271.19006262,-1263.95286967,-1263.96651986,-1263.96414135,-1271.581723888032,-1269.51990482826
1_alde1_2_ami1_2,-90.67460299502501,-90.709574225685,-1271.15746325,-1271.16887253,-1271.16679564,-1263.93723536,-1263.95130425,-1263.94874408,-1271.57653043832,-1269.505623034084
1_alde1_2_ami2_1,-65.418456264438,-65.44327551691,-956.938877449,-956.950841417,-956.948761247,-951.656547963,-951.670754348,-951.668291338,-957.228218584013,-955.733757154097
1_alde1_2_ami2_2,-65.361108574216,-65.38926484561999,-956.922720086,-956.934860839,-956.932724005,-951.65293752,-951.667771851,-951.665160732,-957.227741732125,-955.721300387337
1_alde1_2_ami3_1,-76.052136650544,-76.079894621614,-1111.66189966,-1111.67412866,-1111.67204284,-1105.48148289,-1105.49583815,-1105.49339195,-1111.993299585128,-1110.239540840691
1_alde1_2_ami3_2,-75.99482547968199,-76.025178402759,-1111.64342692,-1111.65566435,-1111.65350016,-1105.4789005,-1105.49366255,-1105.49105139,-1111.989242908642,-1110.225066206347
1_alde1_2_ami4_1,-52.738496102861006,-52.75903351275699,-799.802667451,-799.815070705,-799.812935488,-795.491580548,-795.506231662,-795.503709831,-800.034283221292,-798.821023039456
1_alde1_2_ami4_2,-52.683345479399,-52.707549381801,-799.786576225,-799.799978403,-799.797649353,-795.490785409,-795.506982493,-795.504156604,-800.034441678265,-798.80807854019
1_alde1_3_ami1_1,-118.872780111217,-118.915132826035,-1620.86748161,-1620.87968085,-1620.87740236,-1611.44134088,-1611.45478056,-1611.45227051,-1621.38506150488,-1618.696109182576
1_alde1_3_ami1_2,-118.774327923932,-118.816841731305,-1620.82770384,-1620.837169,-1620.83542527,-1611.40812148,-1611.4185033,-1611.41658613,-1621.372088053585,-1618.671150264839
1_alde1_3_ami2_1,-80.900112670198,-80.928820451978,-1149.50831613,-1149.52081518,-1149.51854082,-1143.00034844,-1143.01435623,-1143.01180353,-1149.857888079784,-1148.020721830358
1_alde1_3_ami2_2,-80.815123362432,-80.849023755779,-1149.48569495,-1149.4985166,-1149.49617045,-1142.99791804,-1143.01260076,-1143.00989873,-1149.859093703597,-1148.003721003543
1_alde1_3_ami3_1,-96.847844274751,-96.882022380775,-1381.59228864,-1381.60586962,-1381.60340306,-1373.73999693,-1373.75488146,-1373.75217831,-1382.004124509823,-1379.778182727529
1_alde1_3_ami3_2,-96.767745641987,-96.80596459268601,-1381.57631648,-1381.58861756,-1381.58641151,-1373.74738992,-1373.76075464,-1373.75835183,-1382.010986255978,-1379.768636447832
1_alde1_3_ami4_1,-61.880080671082,-61.902840261575,-913.803750289,-913.816516979,-913.81422484,-908.755106494,-908.7693907,-908.766811607,-914.065934681967,-912.650554716148
1_alde1_3_ami4_2,-61.791905984649,-61.819256392716,-913.771370134,-913.785891373,-913.783367155,-908.744063404,-908.760444661,-908.757572194,-914.057795174691,-912.622855148262
2_alde1_3_ami1_1,-143.147507128084,-143.19837136380198,-2039.88419094,-2039.89900001,-2039.89592185,-2028.29562116,-2028.31371552,-2028.31002058,-2040.546016362839,-2037.21441950682
2_alde1_3_ami1_2,-143.121679248932,-143.170586983376,-2039.86958935,-2039.88037362,-2039.87834101,-2028.26541342,-2028.27888388,-2028.27633905,-2040.549617650724,-2037.21683623938
2_alde1_3_ami2_1,-105.16555187886401,-105.206103789037,-1568.51658226,-1568.53318686,-1568.52984418,-1559.85208093,-1559.87236558,-1559.8683342,-1569.009257911544,-1566.525071521706
2_alde1_3_ami2_2,-105.14408209504101,-105.184988167805,-1568.51134636,-1568.52510136,-1568.52258944,-1559.84293732,-1559.85991757,-1559.85682428,-1569.015505340312,-1566.528589414706
2_alde1_3_ami3_1,-121.135566182722,-121.180568359021,-1800.62385628,-1800.63825839,-1800.63567412,-1790.61254252,-1790.63012261,-1790.62696598,-1801.18084931346,-1798.309414898295
2_alde1_3_ami3_2,-121.10921871353999,-121.156201818421,-1800.62086689,-1800.63536789,-1800.63275332,-1790.61995701,-1790.637711,-1790.63451002,-1801.185055829947,-1798.307673963202
2_alde1_3_ami4_1,-86.16748718862499,-86.200163398875,-1332.82731364,-1332.84180704,-1332.83925239,-1325.60721905,-1325.62497009,-1325.62182978,-1333.238010987264,-1331.176805233207
2_alde1_3_ami4_2,-86.135106640065,-86.171040984228,-1332.82048355,-1332.83540503,-1332.83282499,-1325.61748408,-1325.6359963,-1325.6327869,-1333.237108245146,-1331.167589844338
2_alde1_4_ami1_1,-171.295663862311,-171.349556005648,-2389.58520465,-2389.59728718,-2389.59484422,-2375.77651794,-2375.78984454,-2375.78715998,-2390.366256250351,-2386.414903701722
2_alde1_4_ami1_2,-171.228019688442,-171.287574779327,-2389.55366111,-2389.56513393,-2389.56286084,-2375.76500849,-2375.77827437,-2375.77564847,-2390.354754189823,-2386.390018244192
2_alde1_4_ami2_1,-120.64347438330499,-120.688044253083,-1761.08152652,-1761.09862826,-1761.09515021,-1751.19185255,-1751.21156446,-1751.20757151,-1761.635642396627,-1758.810006828959
2_alde1_4_ami2_2,-120.595972485559,-120.643455829004,-1761.07868052,-1761.09342037,-1761.09064214,-1751.19440705,-1751.21169693,-1751.20842842,-1761.649724735209,-1758.813976246548
2_alde1_4_ami3_1,-141.93571092947099,-141.983913175196,-2070.56093835,-2070.5770651,-2070.57405195,-2058.86925338,-2058.88770046,-2058.88424166,-2071.197401193323,-2067.854691682842
2_alde1_4_ami3_2,-141.881761929659,-141.936131333147,-2070.54459381,-2070.56054944,-2070.55758401,-2058.87971733,-2058.89808977,-2058.89466505,-2071.197687457579,-2067.840750128099
2_alde1_4_ami4_1,-95.305612472065,-95.340557863721,-1446.82704225,-1446.84351219,-1446.8404442,-1438.87255149,-1438.89096674,-1438.88752771,-1447.266618078467,-1445.004876017414
2_alde1_4_ami4_2,-95.248570320679,-95.288235324378,-1446.81492006,-1446.83163029,-1446.82860955,-1438.88093602,-1438.90044105,-1438.89689468,-1447.271185577604,-1444.992965831329
3_alde1_4_ami1_1,-195.576325983589,-195.64189050516003,-2808.60888427,-2808.62021821,-2808.61795561,-2792.64322641,-2792.65737492,-2792.65457426,-2809.537657029585,-2804.941489891184
3_alde1_4_ami2_1,-144.92667301186302,-144.979498886149,-2180.11134128,-2180.1261428,-2180.12332747,-2168.04836488,-2168.06684027,-2168.0633217,-2180.811193032941,-2177.342762311866
3_alde1_4_ami3_1,-166.217863483029,-166.280407527628,-2489.57876629,-2489.59663004,-2489.59329537,-2475.73840636,-2475.7605881,-2475.75645188,-2490.361700401871,-2486.368928475278
3_alde1_4_ami4_1,-119.590209612614,-119.63432201293001,-1865.86295462,-1865.87822552,-1865.87544558,-1855.74711981,-1855.76631731,-1855.76281649,-1866.44656743965,-1863.536340698747
3_alde1_5_ami1_1,-223.721459047655,-223.79191648598302,-3158.30967519,-3158.32128483,-3158.31882304,-3140.13283041,-3140.14629414,-3140.14347005,-3159.353168457189,-3154.13579295644
3_alde1_5_ami1_2,-223.685062112807,-223.75984311652198,-3158.28639026,-3158.29829225,-3158.2958452,-3140.12801333,-3140.14225968,-3140.13934763,-3159.339418893655,-3154.110868836363
3_alde1_5_ami2_1,-160.41388908693898,-160.466957149535,-2372.69432823,-2372.71160429,-2372.70816315,-2359.39589146,-2359.41607477,-2359.41205507,-2373.452144521628,-2369.645791379499
3_alde1_5_ami2_2,-160.37980415516301,-160.440778245221,-2372.67125898,-2372.6883817,-2372.68503282,-2359.39260617,-2359.41314298,-2359.40911554,-2373.44043348194,-2369.622464193651
3_alde1_5_ami3_1,-187.024975590066,-187.088867543804,-2759.53126716,-2759.54864479,-2759.54523492,-2744.0071741,-2744.02765793,-2744.02363681,-2760.392263193168,-2755.933162660336
3_alde1_5_ami3_2,-187.000664941776,-187.065737228676,-2759.52454667,-2759.5428267,-2759.5393075,-2744.00816905,-2744.02983472,-2744.02565689,-2760.393956327518,-2755.927530700513
3_alde1_5_ami4_1,-128.736930723899,-128.78232525962,-1979.87185299,-1979.88809524,-1979.88506183,-1969.01105373,-1969.0306698,-1969.02699934,-1980.48687087755,-1977.374009440606
3_alde1_5_ami4_2,-128.701092133799,-128.753492583363,-1979.85027056,-1979.86972122,-1979.86610973,-1969.01602112,-1969.03945446,-1969.03508664,-1980.474309188832,-1977.349988850369
3_alde1_6_ami1_1,-256.956096234545,-257.037428488159,-3584.40240995,-3584.41882376,-3584.41552415,-3563.68323465,-3563.70196808,-3563.69821694,-3585.567772841215,-3579.641764269311
3_alde1_6_ami1_2,-256.853455245833,-256.93857605456003,-3584.35566607,-3584.3745007,-3584.37075849,-3563.66231616,-3563.68419526,-3563.679841,-3585.547874648287,-3579.602181445447
3_alde1_6_ami2_1,-180.999814612414,-181.059303877509,-2641.67040455,-2641.6897752,-2641.68599128,-2626.79141486,-2626.81364277,-2626.80930341,-2642.499400193458,-2638.274031182435
3_alde1_6_ami2_2,-180.906621942726,-180.976878698007,-2641.6258342,-2641.64769567,-2641.64344008,-2626.79022432,-2626.81588878,-2626.81086674,-2642.483720409617,-2638.22989648564
3_alde1_6_ami3_1,-212.92163317780498,-212.993234676239,-3105.86193208,-3105.88319486,-3105.87914028,-3088.31253268,-3088.33655235,-3088.33197239,-3106.817120544946,-3101.80687087354
3_alde1_6_ami3_2,-212.840742480412,-212.92345682190398,-3105.85534542,-3105.87264715,-3105.86929192,-3088.34850142,-3088.36879389,-3088.36485433,-3106.832368682934,-3101.799844464937
3_alde1_6_ami4_1,-142.973854144709,-143.021504325173,-2170.27521503,-2170.29384705,-2170.2902766,-2158.32752261,-2158.34904054,-2158.34491954,-2170.932066706917,-2167.540390137307
3_alde1_6_ami4_2,-142.890501602031,-142.945136760977,-2170.24687184,-2170.26772396,-2170.26387335,-2158.32322742,-2158.34783226,-2158.34325498,-2170.928284587796,-2167.512690920323
4_alde1_6_ami1_1,-276.13403797705,-276.232619011403,-3927.02175158,-3927.03640438,-3927.03339594,-3904.52284025,-3904.54055421,-3904.53694191,-3928.327651191576,-3921.831508718649
4_alde1_6_ami2_1,-200.166489457818,-200.24406990788898,-2984.28541811,-2984.3037699,-2984.3001248,-2967.6321169,-2967.65429344,-2967.64987796,-2985.248600943675,-2980.44632905764
