 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1         46             0       -0.092967    6.230801    0.242289
    2         46             0       -0.015617   -3.365800    0.123806
    3          6             0        4.878714    2.474775    0.254179
    4          6             0        4.451520    3.603477    0.314178
    5          6             0        3.877827    4.889480    0.355478
    6          6             0        4.644933    6.061176    0.406273
    7          6             0        3.998140    7.284580    0.424973
    8          6             0        2.611840    7.324687    0.388278
    9          7             0        1.886034    6.205791    0.340183
   10          6             0        2.487527    5.017288    0.327283
   11          1             0        5.721933    6.001871    0.429670
   12          1             0        4.561745    8.202677    0.464670
   13          1             0        2.063145    8.262190    0.396578
   14          1             0        1.848523    4.135091    0.288686
   15          6             0        5.359007    1.152872    0.141279
   16          6             0        6.659004    0.912365   -0.310025
   17          6             0        7.097696   -0.390238   -0.458924
   18          6             0        6.261492   -1.452133   -0.159219
   19          6             0        4.963195   -1.224725    0.304385
   20          6             0        4.516302    0.084377    0.451684
   21          1             0        7.309607    1.740161   -0.545729
   22          1             0        8.098494   -0.581844   -0.814527
   23          1             0        6.614686   -2.460035   -0.311119
   24          1             0        3.531204    0.291183    0.838887
   25          6             0        4.089790   -2.368220    0.614790
   26          6             0        4.605086   -3.538022    1.182590
   27          6             0        3.767981   -4.616117    1.415095
   28          6             0        2.427880   -4.509211    1.087199
   29          7             0        1.926784   -3.384009    0.568999
   30          6             0        2.724289   -2.340314    0.334595
   31          1             0        5.648686   -3.596027    1.449087
   32          1             0        4.150177   -5.527619    1.845295
   33          1             0        1.734176   -5.332607    1.242703
   34          1             0        2.250692   -1.469712   -0.112005
   35          6             0       -0.109170    2.373910    5.136096
   36          6             0       -0.166465    3.511309    4.732094
   37          6             0       -0.204960    4.808908    4.184892
   38          6             0       -0.249151    5.964710    4.975990
   39          6             0       -0.265147    7.201209    4.354388
   40          6             0       -0.231952    7.269506    2.969088
   41          7             0       -0.190160    6.165505    2.220390
   42          6             0       -0.180264    4.965006    2.797392
   43          1             0       -0.269648    5.883512    6.051591
   44          1             0       -0.299940    8.107710    4.936687
   45          1             0       -0.238348    8.218106    2.439786
   46          1             0       -0.147071    4.095905    2.140393
   47          6             0        0.000125    1.042010    5.588698
   48          6             0        0.455728    0.772810    6.881497
   49          6             0        0.600523   -0.539190    7.292699
   50          6             0        0.292514   -1.582390    6.436202
   51          6             0       -0.175189   -1.326190    5.144803
   52          6             0       -0.318484   -0.007590    4.725501
   53          1             0        0.697835    1.586010    7.547995
   54          1             0        0.959425   -0.752891    8.287898
   55          1             0        0.441310   -2.597990    6.768003
   56          1             0       -0.708886    0.221010    3.746502
   57          6             0       -0.494198   -2.449990    4.249206
   58          6             0       -1.066002   -3.627486    4.742210
   59          6             0       -1.306711   -4.686786    3.883713
   60          6             0       -0.982415   -4.553990    2.545111
   61          7             0       -0.459911   -3.421394    2.065608
   62          6             0       -0.218102   -2.395394    2.883705
   63          1             0       -1.329199   -3.705783    5.785411
   64          1             0       -1.740415   -5.603883    4.248416
