 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1         46             0        0.466920    3.600698    0.244092
    2         46             0        1.352575   -5.611705    1.251505
    3          6             0        6.843089   -2.924234    1.129781
    4          6             0        6.759583   -4.129933    1.185084
    5          6             0        6.762975   -5.536933    1.126586
    6          6             0        7.970071   -6.211640    1.087083
    7          6             0        8.016963   -7.598140    0.907885
    8          6             0        6.866659   -8.326135    0.731991
    9          6             0        5.615662   -7.684228    0.776494
   10          6             0        4.396358   -8.369422    0.574199
   11          6             0        3.214862   -7.692916    0.660002
   12          7             0        3.162270   -6.377115    0.982600
   13          6             0        4.279474   -5.695120    1.143395
   14          6             0        5.548971   -6.280827    1.017392
   15          1             0        8.890675   -5.656144    1.180279
   16          1             0        8.976961   -8.091045    0.885183
   17          1             0        6.907853   -9.389735    0.556892
   18          1             0        4.413552   -9.423723    0.348901
   19          1             0        2.260659   -8.181411    0.473606
   20          1             0        4.189881   -4.641619    1.397093
   21          6             0        6.935995   -1.525235    0.966878
   22          6             0        8.190698   -0.910541    0.902373
   23          6             0        8.275105    0.448558    0.662070
   24          6             0        7.130808    1.206463    0.479273
   25          6             0        5.870205    0.607770    0.546478
   26          6             0        5.783499   -0.759729    0.801681
   27          1             0        9.084996   -1.500446    1.031971
   28          1             0        9.244007    0.921153    0.605866
   29          1             0        7.225113    2.256163    0.250171
   30          1             0        4.823197   -1.240224    0.897985
   31          6             0        4.647908    1.389876    0.338681
   32          6             0        4.542717    2.727577    0.733279
   33          6             0        3.348420    3.397883    0.564582
   34          7             0        2.269415    2.804588    0.045887
   35          6             0        2.357507    1.536987   -0.376111
   36          6             0        3.520703    0.810281   -0.259514
   37          1             0        5.376221    3.232774    1.193376
   38          1             0        3.233426    4.437885    0.855781
   39          1             0        1.452903    1.119191   -0.815607
   40          1             0        3.569797   -0.196920   -0.640512
   41          6             0        1.977508   -2.816599    6.633498
   42          6             0        2.002302   -4.024899    6.578300
   43          6             0        1.920295   -5.429898    6.624603
   44          6             0        2.023896   -6.077397    7.842704
   45          6             0        1.826789   -7.458596    7.945407
   46          6             0        1.491181   -8.207296    6.845009
   47          6             0        1.385980   -7.593698    5.583408
   48          6             0        1.015872   -8.300098    4.416811
   49          6             0        0.960771   -7.650599    3.218210
   50          7             0        1.297778   -6.343501    3.093507
   51          6             0        1.614385   -5.641901    4.164404
   52          6             0        1.642287   -6.197599    5.453005
   53          1             0        2.244602   -5.504397    8.730202
   54          1             0        1.918690   -7.930094    8.911907
   55          1             0        1.303276   -9.265795    6.934012
   56          1             0        0.775567   -9.348796    4.487614
   57          1             0        0.643665   -8.154799    2.307912
   58          1             0        1.874890   -4.596103    4.018001
   59          6             0        1.848216   -1.412898    6.707696
   60          6             0        1.927124   -0.768796    7.946695
   61          6             0        1.717431    0.595805    8.022893
   62          6             0        1.424431    1.330305    6.886293
   63          6             0        1.348523    0.702203    5.640494
   64          6             0        1.573216   -0.671099    5.560696
   65          1             0        2.142324   -1.340396    8.836395
   66          1             0        1.771837    1.091306    8.980292
   67          1             0        1.221537    2.385506    6.978992
   68          1             0        1.561310   -1.174600    4.607397
   69          6             0        1.020923    1.460602    4.429494
   70          6             0        1.415629    2.790900    4.253890
   71          6             0        1.122829    3.440299    3.072090
   72          7             0        0.481822    2.833101    2.069293
   73          6             0        0.061616    1.571704    2.227897
   74          6             0        0.299016    0.866004    3.385597
   75          1             0        1.969635    3.306598    5.021087
   76          1             0        1.409934    4.474298    2.904687
   77          1             0       -0.477689    1.141605    1.385100
   78          1             0       -0.082589   -0.136093    3.495301
   79          6             0       -5.022994    0.912027    0.360916
   80          6             0       -4.939088    2.117926    0.312214
   81          6             0       -4.942680    3.524627    0.378511
   82          6             0       -6.150077    4.198533    0.424814
   83          6             0       -6.197269    5.584034    0.612012
   84          6             0       -5.046864    6.311528    0.788907
   85          6             0       -3.795668    5.670621    0.737503
   86          6             0       -2.576163    6.355315    0.940198
   87          6             0       -1.394467    5.679909    0.847695
   88          7             0       -1.342075    4.365808    0.518097
   89          6             0       -2.459379    3.684113    0.356402
   90          6             0       -3.728876    4.268520    0.488706
   91          1             0       -7.070580    3.643038    0.331018
   92          1             0       -7.157366    6.076239    0.640014
   93          1             0       -5.088058    7.374128    0.970005
   94          1             0       -2.593257    7.408416    1.170996
   95          1             0       -0.440164    6.168004    1.034191
   96          1             0       -2.369786    2.632013    0.096704
   97          6             0       -5.116101   -0.487772    0.516319
   98          6             0       -6.370604   -1.103766    0.569624
   99          6             0       -6.455510   -2.464065    0.802827
  100          6             0       -5.311713   -3.221970    0.989524
  101          6             0       -4.051310   -2.621977    0.933619
  102          6             0       -3.964104   -1.253178    0.685416
  103          1             0       -7.264601   -0.514061    0.437026
  104          1             0       -7.424312   -2.937760    0.850431
  105          1             0       -5.406718   -4.272770    1.213026
  106          1             0       -3.003502   -0.771483    0.598012
  107          6             0       -2.829614   -3.403883    1.145316
  108          6             0       -2.720722   -4.739484    0.744718
  109          6             0       -1.526725   -5.409390    0.917215
  110          7             0       -0.451220   -4.817595    1.445010
  111          6             0       -0.543412   -3.552294    1.873008
  112          6             0       -1.706609   -2.826188    1.753311
  113          1             0       -3.550926   -5.243281    0.277222
  114          1             0       -1.408932   -6.447892    0.621416
  115          1             0        0.358092   -3.135798    2.320004
  116          1             0       -1.759002   -1.821187    2.139409
  117          6             0       -0.132714    0.806992   -5.143901
  118          6             0       -0.161807    2.015192   -5.087503
  119          6             0       -0.084400    3.420491   -5.132306
  120          6             0       -0.184601    4.068590   -6.350406
  121          6             0        0.008006    5.450489   -6.451210
  122          6             0        0.335814    6.199489   -5.348712
  123          6             0        0.437415    5.585291   -4.087111
  124          6             0        0.800023    6.291991   -2.918414
  125          6             0        0.852424    5.641793   -1.720113
  126          7             0        0.519517    4.333394   -1.597709
  127          6             0        0.209810    3.631494   -2.670507
  128          6             0        0.185508    4.188192   -3.958808
  129          1             0       -0.399207    3.495389   -7.239405
  130          1             0       -0.081095    5.922387   -7.417810
  131          1             0        0.520319    7.258688   -5.436014
  132          1             0        1.036928    7.341689   -2.987316
  133          1             0        1.164029    6.146492   -0.808215
  134          1             0       -0.047495    2.584796   -2.526204
  135          6             0        0.001579   -0.596209   -5.218399
  136          6             0       -0.064429   -1.239211   -6.458698
  137          6             0        0.149764   -2.603112   -6.534396
  138          6             0        0.434664   -3.338112   -5.395996
  139          6             0        0.497771   -2.711010   -4.148997
  140          6             0        0.268379   -1.338509   -4.069799
  141          1             0       -0.273229   -0.667211   -7.349698
  142          1             0        0.105258   -3.097714   -7.492795
  143          1             0        0.641358   -4.392513   -5.487895
  144          1             0        0.270285   -0.835907   -3.115899
  145          6             0        0.817472   -3.469609   -2.935997
  146          6             0        0.425365   -4.801207   -2.764593
  147          6             0        0.711266   -5.450906   -1.581293
  148          7             0        1.342973   -4.842808   -0.573196
  149          6             0        1.760279   -3.579910   -0.727200
  150          6             0        1.529278   -2.873711   -1.885900
  151          1             0       -0.121240   -5.317806   -3.536590
  152          1             0        0.425961   -6.485905   -1.416890
  153          1             0        2.291584   -3.148712    0.120197
  154          1             0        1.908083   -1.870213   -1.991703
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (KM/Mole),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     6.2159                 6.6058                10.0574
 Red. masses --    11.4361                19.1284                12.7604
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.0087                 0.0026                 0.0309
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1  46     0.03   0.00  -0.03    -0.14  -0.01   0.15     0.07  -0.01   0.06
   2  46    -0.02  -0.00   0.03     0.14   0.00  -0.15    -0.06   0.01  -0.04
   3   6     0.00   0.02  -0.01     0.01  -0.01  -0.00    -0.01  -0.01   0.10
   4   6    -0.00   0.02   0.02     0.03  -0.01   0.03    -0.01  -0.01   0.11
   5   6    -0.00   0.02   0.06     0.04  -0.02   0.07    -0.02  -0.01   0.11
   6   6    -0.00   0.02   0.09     0.04  -0.01   0.11    -0.02  -0.02   0.15
   7   6     0.00   0.01   0.14     0.05  -0.02   0.14    -0.02  -0.02   0.16
   8   6     0.01   0.00   0.15     0.05  -0.02   0.13    -0.02  -0.02   0.13
   9   6     0.01   0.00   0.11     0.05  -0.03   0.09    -0.02  -0.01   0.08
  10   6     0.01  -0.01   0.12     0.05  -0.03   0.07    -0.02  -0.00   0.04
  11   6     0.01  -0.01   0.09     0.05  -0.03   0.03    -0.02   0.01   0.00
  12   7     0.00   0.00   0.05     0.04  -0.03  -0.00    -0.02   0.01  -0.00
  13   6    -0.00   0.01   0.04     0.04  -0.02   0.01    -0.02   0.00   0.03
  14   6     0.00   0.01   0.07     0.04  -0.02   0.05    -0.02  -0.01   0.07
  15   1    -0.00   0.01   0.03     0.01  -0.00   0.03    -0.01  -0.01   0.05
  16   1     0.00   0.00   0.05     0.01  -0.00   0.05    -0.01  -0.01   0.06
  17   1     0.00  -0.00   0.05     0.02  -0.01   0.05    -0.01  -0.00   0.04
  18   1     0.00  -0.00   0.04     0.02  -0.01   0.03    -0.00  -0.00   0.01
