 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
    1         46             0        0.097523    4.090200    0.490693
    2         46             0        0.360872   -5.556702    0.184908
    3          6             0        6.131886   -2.844132    0.198384
    4          6             0        5.945080   -4.031631    0.335086
    5          6             0        5.877373   -5.431930    0.476489
    6          6             0        7.055070   -6.145436    0.617986
    7          6             0        7.048763   -7.538236    0.739789
    8          6             0        5.870459   -8.241829    0.714294
    9          6             0        4.649062   -7.559923    0.569597
   10          6             0        3.405759   -8.230917    0.524802
   11          6             0        2.251662   -7.518111    0.380005
   12          7             0        2.253569   -6.162711    0.284903
   13          6             0        3.391572   -5.500617    0.323398
   14          6             0        4.636869   -6.138623    0.456295
   15          1             0        7.994473   -5.614341    0.633382
   16          1             0        7.987461   -8.059140    0.850186
   17          1             0        5.867054   -9.316929    0.800996
   18          1             0        3.383353   -9.306217    0.603204
   19          1             0        1.278659   -8.013406    0.322510
   20          1             0        3.346878   -4.418717    0.251696
   21          6             0        6.285892   -1.455333   -0.006419
   22          6             0        7.499293   -0.935340   -0.467125
   23          6             0        7.615800    0.423559   -0.698627
   24          6             0        6.542505    1.273565   -0.489025
   25          6             0        5.324304    0.768472   -0.028720
   26          6             0        5.212198   -0.598327    0.222083
   27          1             0        8.335089   -1.594545   -0.644326
   28          1             0        8.552301    0.824353   -1.055731
   29          1             0        6.648010    2.322864   -0.715227
   30          1             0        4.304797   -1.010021    0.632387
   31          6             0        4.156909    1.634279    0.160883
   32          6             0        2.867806    1.124785   -0.053212
   33          6             0        1.769011    1.925191    0.154490
   34          7             0        1.888919    3.212491    0.519488
   35          6             0        3.103322    3.728085    0.705483
   36          6             0        4.252417    2.972079    0.553380
   37          1             0        2.734599    0.115385   -0.406410
   38          1             0        0.752108    1.538796    0.030395
   39          1             0        3.151128    4.770585    0.997081
   40          1             0        5.211421    3.422974    0.750276
   41          6             0        0.457429    1.350209    6.250696
   42          6             0        0.314434    2.538509    6.075294
   43          6             0        0.173742    3.938610    6.018093
   44          6             0        0.090849    4.648712    7.203492
   45          6             0       -0.025343    6.041813    7.207390
   46          6             0       -0.053944    6.748211    6.030788
   47          6             0        0.026549    6.068908    4.802289
   48          6             0        0.006548    6.743906    3.560288
   49          6             0        0.073740    6.032704    2.398389
   50          7             0        0.158533    4.675603    2.391391
   51          6             0        0.196833    4.010405    3.527392
   52          6             0        0.135641    4.647408    4.779691
   53          1             0        0.117250    4.114414    8.140892
   54          1             0       -0.088737    6.560415    8.151689
   55          1             0       -0.137638    7.823611    6.034187
   56          1             0       -0.064647    7.819807    3.545187
   57          1             0        0.054039    6.530402    1.424288
   58          1             0        0.282927    2.930205    3.472694
   59          6             0        0.693822   -0.033392    6.400198
   60          6             0        1.168324   -0.538893    7.614597
   61          6             0        1.453117   -1.887394    7.727298
   62          6             0        1.286809   -2.738495    6.647700
   63          6             0        0.807807   -2.249195    5.429301
   64          6             0        0.497814   -0.893793    5.322900
   65          1             0        1.316330    0.124608    8.452695
   66          1             0        1.821718   -2.278194    8.663598
   67          1             0        1.562304   -3.776096    6.749901
   68          1             0        0.072413   -0.492893    4.417001
   69          6             0        0.677299   -3.121696    4.259303
   70          6             0        0.418692   -4.491995    4.355206
   71          6             0        0.340284   -5.260096    3.207608
   72          7             0        0.482782   -4.732299    1.993607
   73          6             0        0.714389   -3.415100    1.871703
   74          6             0        0.830897   -2.594199    2.968502
   75          1             0        0.265893   -4.960992    5.313408
   76          1             0        0.160478   -6.326995    3.260010
   77          1             0        0.802687   -3.024703    0.851402
   78          1             0        1.059102   -1.550101    2.833399
   79          6             0       -4.673218   -1.902179   -2.234380
   80          6             0       -4.582623   -3.061579   -1.899179
   81          6             0       -4.766128   -4.412378   -1.544776
   82          6             0       -5.959633   -5.005972   -1.925470
   83          6             0       -6.275938   -6.314170   -1.552667
   84          6             0       -5.405540   -7.052073   -0.789869
   85          6             0       -4.172335   -6.500179   -0.403274
   86          6             0       -3.233537   -7.229182    0.360924
   87          6             0       -2.019233   -6.680888    0.644719
   88          7             0       -1.669428   -5.433791    0.217015
   89          6             0       -2.544326   -4.699887   -0.441083
   90          6             0       -3.824030   -5.170781   -0.787878
   91          1             0       -6.664132   -4.434969   -2.510169
   92          1             0       -7.219242   -6.736865   -1.862363
   93          1             0       -5.651144   -8.056971   -0.485066
   94          1             0       -3.484341   -8.222381    0.698327
   95          1             0       -1.280033   -7.220691    1.245617
   96          1             0       -2.231422   -3.703890   -0.729986
   97          6             0       -4.850911   -0.527279   -2.498082
   98          6             0       -5.796913   -0.109476   -3.439280
   99          6             0       -6.049806    1.239925   -3.600781
  100          6             0       -5.388998    2.182123   -2.830485
  101          6             0       -4.435997    1.780920   -1.892488
  102          6             0       -4.159304    0.421119   -1.750586
  103          1             0       -6.331718   -0.840774   -4.025076
  104          1             0       -6.785407    1.562528   -4.321779
  105          1             0       -5.643893    3.224224   -2.938486
  106          1             0       -3.408303    0.079016   -1.057188
  107          6             0       -3.707889    2.741118   -1.059492
  108          6             0       -3.425284    4.047715   -1.468795
  109          6             0       -2.538477    4.816812   -0.736800
  110          7             0       -1.937076    4.363511    0.364599
  111          6             0       -2.325080    3.170914    0.860003
  112          6             0       -3.206487    2.350617    0.191707
  113          1             0       -3.841785    4.445716   -2.379394
  114          1             0       -2.269973    5.816110   -1.052702
  115          1             0       -1.947578    2.899713    1.847102
  116          1             0       -3.499190    1.412219    0.634010
  117          6             0       -2.260813    0.529104   -4.620793
  118          6             0       -1.944507    1.693402   -4.524596
  119          6             0       -1.595000    3.048700   -4.683600
  120          6             0       -1.957801    3.663600   -5.871500
  121          6             0       -1.579995    4.977698   -6.157303
  122          6             0       -0.826589    5.698995   -5.264707
  123          6             0       -0.456687    5.125395   -4.036307
  124          6             0        0.304820    5.830693   -3.077111
  125          6             0        0.573721    5.258194   -1.870611
  126          7             0        0.125016    4.011897   -1.547007
  127          6             0       -0.530691    3.299499   -2.441504
  128          6             0       -0.853493    3.792198   -3.717404
  129          1             0       -2.531407    3.106002   -6.595697
  130          1             0       -1.876596    5.418097   -7.096703
  131          1             0       -0.515884    6.706893   -5.490010
  132          1             0        0.655324    6.824191   -3.307714
  133          1             0        1.181126    5.769092   -1.116714
  134          1             0       -0.838395    2.303101   -2.148401
  135          6             0       -2.521121   -0.845295   -4.809190
  136          6             0       -3.444227   -1.253292   -5.777486
  137          6             0       -3.612035   -2.600492   -6.037483
  138          6             0       -2.866637   -3.550794   -5.359984
  139          6             0       -1.946632   -3.159997   -4.385488
  140          6             0       -1.796124   -1.801798   -4.104291
  141          1             0       -4.011925   -0.515590   -6.322885
  142          1             0       -4.318839   -2.914989   -6.790080
  143          1             0       -2.979244   -4.591594   -5.618282
  144          1             0       -1.115819   -1.469200   -3.337094
  145          6             0       -1.143034   -4.132700   -3.640689
  146          6             0        0.108469   -3.767006   -3.121594
  147          6             0        0.748968   -4.601108   -2.232195
  148          7             0        0.223963   -5.782604   -1.848791
  149          6             0       -0.878341   -6.213800   -2.464786
  150          6             0       -1.581640   -5.430698   -3.362785
  151          1             0        0.572273   -2.837309   -3.409497
  152          1             0        1.739471   -4.353612   -1.846098
  153          1             0       -1.219345   -7.206097   -2.200283
  154          1             0       -2.494044   -5.810994   -3.791781
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (KM/Mole),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     8.4916                 8.7593                11.7363
 Red. masses --    13.0006                11.8362                16.9190
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.3581                 0.1368                 0.4161
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1  46    -0.04  -0.02  -0.07    -0.03   0.03   0.04     0.18  -0.03  -0.11
   2  46    -0.06   0.01  -0.09     0.01  -0.03   0.04     0.09   0.03  -0.06
   3   6    -0.00   0.01   0.14    -0.01   0.00  -0.09     0.06  -0.01   0.04
   4   6    -0.02   0.00   0.10     0.00  -0.00  -0.11     0.05  -0.01   0.00
   5   6    -0.02  -0.00   0.06     0.01  -0.00  -0.13     0.04  -0.01  -0.04
   6   6    -0.03  -0.01   0.07     0.02  -0.00  -0.18     0.04  -0.02  -0.08
   7   6    -0.03  -0.01   0.03     0.02  -0.00  -0.20     0.03  -0.03  -0.12
   8   6    -0.03  -0.01  -0.02     0.02  -0.01  -0.17     0.03  -0.02  -0.14
   9   6    -0.03  -0.00  -0.03     0.02  -0.01  -0.12     0.03  -0.01  -0.11
  10   6    -0.02  -0.00  -0.08     0.02  -0.01  -0.09     0.03  -0.00  -0.12
  11   6    -0.02   0.00  -0.09     0.01  -0.01  -0.05     0.03   0.01  -0.08
  12   7    -0.02   0.01  -0.06     0.01  -0.01  -0.03     0.04   0.01  -0.05
  13   6    -0.02   0.00  -0.01     0.01  -0.01  -0.05     0.04   0.00  -0.03
  14   6    -0.02   0.00   0.01     0.01  -0.01  -0.10     0.04  -0.01  -0.06
  15   1    -0.01  -0.00   0.03     0.00  -0.00  -0.06     0.01  -0.01  -0.02
  16   1    -0.01  -0.00   0.01     0.01  -0.00  -0.07     0.01  -0.01  -0.04
  17   1    -0.01  -0.00  -0.01     0.01  -0.00  -0.05     0.01  -0.01  -0.05
  18   1    -0.01  -0.00  -0.03     0.01  -0.00  -0.03     0.01  -0.00  -0.04
  19   1    -0.01   0.00  -0.04     0.00  -0.00  -0.01     0.01   0.00  -0.03
  20   1    -0.01   0.00   0.00     0.00  -0.00  -0.01     0.01   0.00  -0.00
  21   6     0.02   0.01   0.19    -0.02   0.01  -0.07     0.08  -0.00   0.08
  22   6     0.05   0.02   0.28    -0.03   0.01  -0.09     0.11   0.00   0.16
