Entry,Index,NAME,Query,Fragment,ANG1,ANG2,ANG3,ANG4,DIST1,DIST2,DIST3,DIST4,NNNN,PDPL1,PDPL2,PDPL3,PDPL4,V1,V2,abs(N1_PLA),abs(N2_PLA),abs(N3_PLA),abs(N4_PLA),abs(PD_PLA)
npd_t4_aromatic|ABPPDN|0,1,ABPPDN,1,1,79.892,102.149,80.195,102.137,2.028,2.03,2.05,2.03,-19.913,80.276,81.603,81.257,82.627,163.363,165.125,0.275,0.284,0.276,0.28,0.013
npd_t4_aromatic|AFARAB|1,2,AFARAB,1,1,178.314,90.447,179.409,88.952,2.019,2.033,2.026,2.025,179.883,88.782,88.73,89.579,87.511,91.173,89.423,0.003,0.001,0.001,0.003,0.007
npd_t4_aromatic|AFARAB|2,3,AFARAB,1,2,178.241,90.592,178.827,90.071,2.026,2.018,2.034,2.036,179.45,89.28,87.896,88.476,89.312,91.101,88.237,0.004,0.006,0.006,0.004,0.003
npd_t4_aromatic|AFARAB|3,4,AFARAB,1,3,178.91,90.458,178.738,90.582,2.028,2.025,2.027,2.012,-179.54,89.102,89.623,87.979,87.967,88.552,90.401,0.006,0.002,0.002,0.007,0.01
npd_t4_aromatic|ALEQAL|4,5,ALEQAL,1,1,178.446,92.698,177.567,93.705,1.868,1.917,2.0,1.948,-179.737,89.628,86.395,84.657,86.612,88.149,85.414,0.007,0.003,0.003,0.007,0.019
npd_t4_aromatic|AYEJUK|5,6,AYEJUK,1,1,80.803,163.361,78.574,167.452,2.068,2.017,2.06,1.995,18.404,84.41,76.504,83.615,83.571,101.666,102.62,0.247,0.252,0.264,0.266,0.03
npd_t4_aromatic|AYEJUK01|6,7,AYEJUK01,1,1,79.628,163.379,79.628,167.548,2.031,2.037,2.037,2.031,18.35,83.961,80.069,80.069,83.961,102.204,102.204,0.25,0.25,0.265,0.265,0.03
npd_t4_aromatic|BASGUX02|7,8,BASGUX02,1,1,88.427,180.0,88.427,180.0,2.014,2.014,2.014,2.014,0.0,85.753,88.115,88.115,85.753,91.573,91.573,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|BASGUX10|8,9,BASGUX10,1,1,90.626,180.0,90.626,180.0,2.034,2.029,2.029,2.034,0.0,89.915,87.598,87.598,89.915,89.374,89.374,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|BEHSUC|9,10,BEHSUC,1,1,88.902,180.0,88.902,180.0,2.029,2.019,2.019,2.029,0.0,88.642,88.415,88.415,88.642,91.098,91.098,0.0,0.0,0.0,0.0,0.0
npd_t4_aromatic|BEHSUC|10,11,BEHSUC,1,2,89.687,180.0,89.687,180.0,2.034,2.024,2.024,2.034,0.0,89.112,86.65,86.65,89.112,90.313,90.313,0.0,0.0,0.0,0.0,0.0
